stimulus_id,seed,exemplar,shape_level,shape_family,appendage_level,appendage_family,appendage_count,texture_level,texture_family,colour_level,colour_name,colour_hue_deg,colour_chroma,colour_luminance_Lstar,srgb_r,srgb_g,srgb_b,srgb_relative_luminance,body_area_vector,body_perimeter_vector,body_area_pixels,object_area_pixels,body_bbox_width,body_bbox_height,object_bbox_width,object_bbox_height,svg_path,png_path,body_mask_path,object_mask_path
microbe_00036,202901542,3,0,round,0,none,0,1,spots,2,lime,95,48.0,60.0,162,145,56,0.2821770387244846,62280.9433840625,886.3199061758614,62647,62647,295.6759723036149,267.80066750767674,295.6759723036149,267.80066750767674,svg/microbe_00036.svg,png/microbe_00036.png,masks/body/microbe_00036.png,masks/object/microbe_00036.png
microbe_00037,1530246130,0,0,round,0,none,0,1,spots,3,green,145,48.0,60.0,81,161,94,0.280472207918802,62280.943384066224,885.3541210866883,62686,62686,290.2635730987829,272.87286628789457,290.2635730987829,272.87286628789457,svg/microbe_00037.svg,png/microbe_00037.png,masks/body/microbe_00037.png,masks/object/microbe_00037.png
microbe_00038,1212507109,1,0,round,0,none,0,1,spots,3,green,145,48.0,60.0,81,161,94,0.280472207918802,62280.9433840774,885.0649661051393,62660,62660,287.89994199540837,275.13806688876355,287.89994199540837,275.13806688876355,svg/microbe_00038.svg,png/microbe_00038.png,masks/body/microbe_00038.png,masks/object/microbe_00038.png
microbe_00039,590712593,2,0,round,0,none,0,1,spots,3,green,145,48.0,60.0,81,161,94,0.280472207918802,62280.94338405132,885.5398271011234,62673,62673,291.73639491905806,271.48395125092725,291.73639491905806,271.48395125092725,svg/microbe_00039.svg,png/microbe_00039.png,masks/body/microbe_00039.png,masks/object/microbe_00039.png
microbe_00040,1208321379,3,0,round,0,none,0,1,spots,3,green,145,48.0,60.0,81,161,94,0.280472207918802,62280.94338405505,885.4904363539835,62659,62659,291.34838170243955,271.65199729919374,291.34838170243955,271.65199729919374,svg/microbe_00040.svg,png/microbe_00040.png,masks/body/microbe_00040.png,masks/object/microbe_00040.png
microbe_00041,743898526,0,0,round,0,none,0,1,spots,6,violet,275,48.0,60.0,80,147,229,0.2823005310965488,62280.943384066224,885.3541210866883,62686,62686,290.2635730987829,272.87286628789457,290.2635730987829,272.87286628789457,svg/microbe_00041.svg,png/microbe_00041.png,masks/body/microbe_00041.png,masks/object/microbe_00041.png
microbe_00042,1669557176,1,0,round,0,none,0,1,spots,6,violet,275,48.0,60.0,80,147,229,0.2823005310965488,62280.94338405132,884.8062830675697,62677,62677,283.24031376293055,280.121135500468,283.24031376293055,280.121135500468,svg/microbe_00042.svg,png/microbe_00042.png,masks/body/microbe_00042.png,masks/object/microbe_00042.png
microbe_00043,679300495,2,0,round,0,none,0,1,spots,6,violet,275,48.0,60.0,80,147,229,0.2823005310965488,62280.94338406995,885.5507935867673,62680,62680,290.4372757374521,273.046560409915,290.4372757374521,273.046560409915,svg/microbe_00043.svg,png/microbe_00043.png,masks/body/microbe_00043.png,masks/object/microbe_00043.png
microbe_00044,548277062,3,0,round,0,none,0,1,spots,6,violet,275,48.0,60.0,80,147,229,0.2823005310965488,62280.9433840774,885.5166328272707,62684,62684,290.35285504043065,273.0903646474811,290.35285504043065,273.0903646474811,svg/microbe_00044.svg,png/microbe_00044.png,masks/body/microbe_00044.png,masks/object/microbe_00044.png
microbe_00045,264824522,0,0,round,0,none,0,1,spots,7,magenta,320,48.0,60.0,183,122,199,0.28109868110024566,62280.943384066224,885.3541210866883,62686,62686,290.2635730987829,272.87286628789457,290.2635730987829,272.87286628789457,svg/microbe_00045.svg,png/microbe_00045.png,masks/body/microbe_00045.png,masks/object/microbe_00045.png
